Epoch [D]             Sep ['']            Sep_err ['']            PA []               PA_err [°]
2453892.42800000      0.08880000          0.00266400             57.4000              3.0000
2453996.92750000      0.08550000          0.00256500            202.4000              3.0000
2454315.20750000      0.12700000          0.00381000            215.6000              3.0000
2454376.56400000      0.11310000          0.00339300            234.9000              3.0000
2454956.85550000      0.06450000          0.00193500            243.9000              3.0000
2454970.79850000      0.02342000          0.00070260            294.5000              3.0000
2454984.85100000      0.04564000          0.00136920             30.7800              3.0000
2455018.79600000      0.08904000          0.00267120             60.8300              3.0000
2453146.30000000      0.07627000          0.00228810            196.8900              3.0000
2453150.27000000      0.09047000          0.00271410            193.2800              3.0000
2453286.30000000      0.02514000          0.00075420            281.4600              3.0000
2441759.42000241      0.09600000          4.00000000            241.0000              0.0048
2441848.48000523      0.07700000          4.00000000             71.0000              0.0039
2442674.51150828      0.09000000          3.00000000             64.0000              0.0090
2442887.97060346      0.07800000          2.00000000            242.4000              0.0080
2442942.98040520      0.08800000          2.00000000             53.6000              0.0100
2442944.95680526      0.08200000          2.00000000             54.3000              0.0090
2443322.32800564      0.05700000          3.00000000            190.3000              0.0060
2443378.10000741      0.12500000          4.00000000            218.0000              0.0063
2443415.00150858      0.13600000          0.60000000            227.3000              0.0010
2443706.96500626      0.12400000          1.00000000            230.0000              0.0050
2443733.86550711      0.07100000          3.00000000            244.9000              0.0070
2444005.90000417      0.09500000          4.00000000            238.7000              0.0048
2444006.92200420      0.09400000          4.00000000            237.9000              0.0047
2444068.71650616      0.09400000          4.00000000             54.4000              0.0047
2444414.04540000      0.04600000          4.00000000            141.6000              0.0023
2444501.99520000      0.13600000          4.00000000            219.0000              0.0068
2444502.98340000      0.13600000          4.00000000            218.5000              0.0068
2444505.03300000      0.13600000          4.00000000            220.0000              0.0068
2444774.34900535      0.13400000          4.00000000            216.8000              0.0067
2444775.29800538      0.13000000          4.00000000            216.7000              0.0065
2444776.32000542      0.13000000          4.00000000            218.9000              0.0065
2444778.29100548      0.13900000          4.00000000            218.8000              0.0070
2444855.08699634      0.08000000          3.00000000            242.0000              0.0040
2444861.03649653      0.05500000          4.00000000            251.4000              0.0028
2445361.15950081      0.14900000          4.00000000            224.6000              0.0075
2445452.59200371      0.05600000          3.80000000             42.2000              0.0050
2445596.54799670      0.11900000          4.00000000            211.0000              0.0060
2445957.02940000      0.11800000          4.00000000            232.5000              0.0059
2446243.37900561      0.11500000          4.00000000            237.5000              0.0058
2444522.56440000      0.13700000          4.00000000            225.2000              0.0020
2444530.57980000      0.13900000          4.00000000            225.2000              0.0010
2446597.83050000      0.08600000          2.00000000             62.2000              0.0060
2447074.52050882      0.12900000          4.00000000            226.4000              0.0065
2447614.55250276      0.14200000          4.00000000            225.9000              0.0071
2448167.81950873      0.14200000          4.00000000            227.0000              0.0071
2448737.13120362      0.14400000          4.00000000            223.3000              0.0072
2449608.85399652      0.11000000          4.00000000            236.2000              0.0055
2449615.56999674      0.09640000          1.00000000            236.4000              0.0020
2449615.56999674      0.09650000          1.00000000            236.0000              0.0020
2452393.35850000      0.13700000          4.00000000            228.2000              0.0067
2452393.35850000      0.13400000          4.00000000            228.0000              0.0069
2454315.97400000      0.13200000          4.00000000            216.3000              0.0066
