Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
143.69393690        44.33105739          0.02498403              0
360.32964850        35.84442525          0.02650447              0
368.32854350        37.03250472          0.02337060              0
369.34035080        37.21220035          0.01799436              0
371.27971130        37.44908458          0.02166906              0
373.27982410        37.79348174          0.01975868              0
373.28348800        37.77253090          0.02457843              0
374.28013140        37.89395838          0.01761572              0
375.28065560        38.10207235          0.01729872              0
375.75424240        38.21340965          0.02248192              0
377.79621970        38.52069903          0.02534563              0
378.79372590        38.65769258          0.01633155              0
379.28206460        38.62990032          0.01586447              0
379.78106430        38.77166605          0.03566244              0
380.28202400        38.80262650          0.01163800              0
380.79006510        38.86700755          0.02092212              0
384.73542460        39.55690839          0.02529998              0
385.28423410        39.57716658          0.01134690              0
386.28445660        39.78780754          0.01733830              0
386.80802500        39.65858710          0.02009508              0
387.28492820        39.85340497          0.01787050              0
390.28646100        40.29489265          0.02141050              0
391.28689190        40.38026903          0.01998461              0
392.28765690        40.51277235          0.02452901              0
393.79384560        40.57792181          0.02288813              0
394.29476060        40.66189848          0.03444384              0
395.28912230        40.84714323          0.01819723              0
396.29125190        41.05580474          0.01714155              0
396.77593580        40.83888833          0.02497403              0
397.28995960        41.14901248          0.01845793              0
398.29038930        41.32613713          0.02853027              0
399.29076970        41.44601813          0.02320389              0
400.29124800        41.64318633          0.01974596              0
403.80675920        42.08687387          0.01576911              0
404.78700940        42.21516784          0.01459145              0
406.80791740        42.44515194          0.01680021              0
407.79840950        42.57126081          0.01500843              0
408.81024260        42.70424049          0.01229786              0
412.79121420        43.14867532          0.01540394              0
413.78504230        43.14351010          0.02150779              0
414.78725760        43.29247437          0.01810919              0
415.75797360        43.41824787          0.01963912              0
416.79579890        43.59717726          0.01680981              0
417.80509400        43.55596578          0.01312476              0
418.80003820        43.69351755          0.01526559              0
424.71905040        44.39168631          0.02028468              0
425.70694930        44.50459219          0.02212479              0
429.68513360        44.86890294          0.02627378              0
430.70797710        44.96330355          0.01732691              0
431.69432380        44.99070213          0.02189863              0
435.67383990        45.36479029          0.02195708              0
436.67943900        45.39702000          0.01441139              0
444.62854510        45.98642468          0.02960639              0
447.63115300        45.97443859          0.02082412              0
448.63140630        46.00759377          0.02157193              0
451.63878000        46.19686645          0.02546427              0
453.63110980        46.02619319          0.01470417              0
454.62684290        46.02449440          0.01413772              0
455.66134310        46.00723274          0.01824241              0
456.65422070        46.01047899          0.01296674              0
458.77523080        46.00215174          0.00781109              0
460.76941970        45.76755739          0.01610891              0
461.74508730        45.69742842          0.01674729              0
462.75203650        45.57500391          0.01952787              0
463.75660850        45.58922048          0.01301227              0
464.75229830        45.48938494          0.01625292              0
465.75110440        45.41701895          0.01886859              0
466.75178430        45.20670908          0.01184121              0
467.75202620        45.01173743          0.01518792              0
472.73673630        44.10915171          0.02205124              0
472.77271160        44.06829803          0.01464351              0
473.73572130        43.89940675          0.01992902              0
474.73140250        43.47959558          0.01480839              0
475.72785010        43.30052945          0.01618877              0
476.73361940        43.03439348          0.01360224              0
476.76748740        43.04947668          0.01573535              0
477.43699570        42.95513239          0.02066441              0
477.72231500        42.67598952          0.01628534              0
477.75755050        42.72767597          0.01388669              0
479.71764380        42.02164050          0.01244411              0
480.42569410        41.84199441          0.03393372              0
481.45151000        41.27772969          0.01353353              0
482.45646180        40.91348958          0.01999317              0
482.71377980        40.74611755          0.01649061              0
487.44076200        38.05335485          0.03729189              0
487.70637170        37.81962300          0.01919098              0
488.41740760        37.48270869          0.01839663              0
488.69509190        37.13435452          0.01423994              0
488.75355560        37.06318666          0.01729478              0
489.69214210        36.35929761          0.01800913              0
490.43165490        35.97268645          0.02630558              0
491.44040870        35.24150627          0.02087246              0
498.56854340        28.80447110          0.03099350              0
498.73892480        28.59315629          0.01195041              0
499.73054820        27.65881258          0.01958465              0
501.71777660        25.63134132          0.01337056              0
502.46402040        24.89066638          0.01639147              0
502.71277660        24.54551171          0.01156341              0
503.36360000        24.04505026          0.02885010              0
503.50734570        23.80519326          0.01754693              0
503.66490870        23.62796135          0.01698369              0
503.73822120        23.42840263          0.01355008              0
504.48084660        22.73566797          0.01887265              0
504.48547470        22.73626494          0.02440031              0
504.73055060        22.46819301          0.01802933              0
505.35727790        22.05520598          0.02194273              0
505.36059520        22.07439472          0.02154948              0
505.36389800        22.03821073          0.01803442              0
505.36722800        22.00859031          0.02089075              0
505.37055070        22.06690694          0.01757208              0
505.41078150        21.95231793          0.02025611              0
505.41409850        21.98493213          0.01389984              0
505.41751780        21.91013087          0.02461780              0
505.42082400        21.88083456          0.02003748              0
505.42418470        21.85342732          0.02255104              0
505.42749130        21.85644255          0.01846656              0
505.60437370        21.59356894          0.01572276              0
505.60767660        21.60828304          0.01074176              0
505.61098470        21.57346746          0.01521106              0
505.61428450        21.59373280          0.01233169              0
505.61758570        21.61955426          0.02099007              0
505.62089390        21.54977466          0.01341101              0
505.72919040        21.56209431          0.01756276              0
505.73249180        21.56144213          0.01779529              0
505.73581770        21.56888431          0.01623582              0
505.73946850        21.53029884          0.01709672              0
505.74278020        21.56297197          0.01166718              0
505.74609110        21.55945468          0.01608058              0
505.75353900        21.50367710          0.01127196              0
506.37548330        21.15538079          0.03294469              0
506.42117370        21.01332732          0.02102259              0
506.42449200        20.99985339          0.02442065              0
506.42779760        20.98945839          0.01861518              0
506.43110910        20.98353629          0.02148560              0
506.43441820        20.97333266          0.01722809              0
506.43772470        20.98643045          0.02581558              0
506.61631510        20.65628748          0.01880351              0
506.61961640        20.66014365          0.02121859              0
507.37523320        20.20662351          0.02644663              0
507.37854950        20.20703526          0.01671329              0
507.38185630        20.16906423          0.01522386              0
507.38516610        20.18656821          0.01780443              0
507.38852520        20.17479099          0.01917478              0
507.39183160        20.15438357          0.01919410              0
507.53271210        19.90353439          0.01772916              0
507.53602620        19.91908758          0.01633517              0
507.53933190        19.89681683          0.01646214              0
507.54263880        19.88524306          0.01781822              0
507.54594050        19.86784721          0.02013443              0
507.54924490        19.87768328          0.01712542              0
507.64351200        19.78037431          0.01553222              0
507.64681280        19.77830997          0.01524919              0
507.65011980        19.74130110          0.01448778              0
507.65343190        19.76082778          0.01502824              0
507.65682570        19.76722554          0.01029171              0
507.66013320        19.77328166          0.00976087              0
508.35252410        19.33208316          0.03118943              0
508.35583030        19.32112794          0.03285458              0
508.35914070        19.30467399          0.03804797              0
508.36244460        19.27617084          0.03194059              0
508.36575150        19.29026760          0.02916980              0
508.36905650        19.29010394          0.03267416              0
508.50803310        18.96762006          0.01856609              0
508.51133410        18.98106394          0.01849949              0
508.51470190        18.93729419          0.01499174              0
508.51802480        18.85707845          0.01536010              0
508.63335400        18.78428786          0.01006819              0
508.63666240        18.80004047          0.01812919              0
508.63997040        18.78717567          0.01542949              0
508.64328230        18.75201409          0.01789071              0
508.64659390        18.76150939          0.01874736              0
508.64991120        18.73860231          0.01942996              0
508.72789110        18.79024947          0.02127464              0
509.34806280        18.46300206          0.02625887              0
509.35137590        18.46578568          0.02213019              0
509.35467750        18.46180674          0.01975980              0
509.35798760        18.41276741          0.02199692              0
509.36129900        18.40713500          0.02398206              0
509.36460090        18.43340706          0.03516121              0
509.46796860        18.29204317          0.01081137              0
509.57326090        18.17025125          0.01686136              0
509.57656390        18.16767397          0.01884749              0
509.57991960        18.15427474          0.01568648              0
509.58333690        18.15349916          0.01738852              0
509.58663840        18.02459819          0.01928535              0
509.68481220        17.91433016          0.01775971              0
509.68823110        17.94354744          0.01765148              0
509.69153220        17.85748116          0.02069638              0
509.69483410        17.87421361          0.02319304              0
509.69819170        17.91397303          0.01820009              0
509.70149750        17.86198550          0.02024673              0
510.51912650        17.25420366          0.01923746              0
510.60616450        17.27078574          0.01734631              0
510.69417620        17.20977293          0.01784050              0
510.74050370        17.18767866          0.01275591              0
511.35581150        16.76174658          0.03104429              0
511.35914010        16.75645449          0.03330151              0
511.36246670        16.72910213          0.03128486              0
511.36576810        16.72067916          0.03337450              0
511.36907620        16.72585145          0.02827609              0
512.71732660        15.71320140          0.01846790              0
512.72162710        15.67983058          0.02214148              0
514.37505920        14.86678361          0.02021018              0
