Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
143.69393690        15.70121374          0.10168760              0
360.32964850        27.58763619          0.23262724              0
368.32854350        25.74093942          0.08032053              0
369.34035080        25.54305626          0.09588013              0
371.27971130        25.07790352          0.09817207              0
373.27982410        24.65501637          0.26797305              0
373.28348800        24.72400036          0.16272016              0
374.28013140        24.46839448          0.11757646              0
375.28065560        24.33150428          0.11040851              0
375.75424240        24.31750120          0.17570609              0
377.79621970        24.07680919          0.52487996              0
378.79372590        23.53581534          0.66878809              0
379.28206460        23.50139071          0.10993830              0
379.78106430        23.36537209          0.17337073              0
380.28202400        23.36694045          0.09354472              0
380.79006510        23.20343561          0.13114337              0
384.73542460        22.56001141          0.14565383              0
385.28423410        22.42677558          0.09116186              0
386.28445660        22.28086852          0.09329564              0
386.80802500        21.90436196          0.13892600              0
387.28492820        22.02218794          0.08502820              0
390.28646100        21.50184171          0.10938393              0
391.28689190        21.35037236          0.52186752              0
392.28765690        21.05117469          0.16310430              0
393.79384560        20.66652492          0.32487115              0
394.29476060        20.73068000          0.33802640              0
395.28912230        20.41450860          0.12656725              0
396.29125190        20.23770641          0.17901139              0
396.77593580        19.72782481          0.62077248              0
397.28995960        20.09896713          0.11787407              0
398.29038930        19.96057707          0.13996927              0
399.29076970        19.73102864          0.14894625              0
400.29124800        19.68637131          0.16461100              0
403.80675920        18.99315016          0.11228311              0
404.78700940        18.92460819          0.17534128              0
406.80791740        18.49969013          0.11391647              0
407.79840950        18.30448667          0.08892511              0
408.81024260        18.13400887          0.07541440              0
412.79121420        17.44461242          0.10293843              0
413.78504230        17.17836107          0.06970541              0
414.78725760        16.98997971          0.12277856              0
415.75797360        16.95915421          0.19166706              0
416.79579890        16.74652035          0.10551159              0
417.80509400        16.55515567          0.09547306              0
418.80003820        16.37577350          0.10035140              0
424.71905040        15.67159468          0.18520012              0
425.70694930        15.65088365          0.20074101              0
429.68513360        15.08552492          0.20498936              0
430.70797710        14.91348243          0.11279171              0
431.69432380        14.72886310          0.14561487              0
435.67383990        14.34000419          0.11716682              0
436.67943900        14.14280655          0.15259247              0
444.62854510        13.52023413          0.09053560              0
447.63115300        13.34669219          0.09033247              0
448.63140630        13.25341516          0.11203254              0
451.63878000        13.25199080          0.08673504              0
453.63110980        13.11638716          0.11047261              0
454.62684290        13.17974715          0.11923441              0
455.66134310        13.14654597          0.09075169              0
456.65422070        13.17309325          0.06874979              0
458.77523080        13.39315935          0.09614644              0
460.76941970        13.43224942          0.11004487              0
461.74508730        13.49232523          0.12574743              0
462.75203650        13.54467094          0.08597311              0
463.75660850        13.81555271          0.11883475              0
464.75229830        13.95062552          0.09150526              0
465.75110440        14.10626323          0.08886929              0
466.75178430        14.23149216          0.06753647              0
467.75202620        14.39992900          0.09393578              0
472.73673630        15.70854626          0.07948732              0
472.77271160        15.65828850          0.09725080              0
473.73572130        16.09950839          0.26633814              0
474.73140250        16.31471150          0.05304181              0
475.72785010        16.80967459          0.08551595              0
476.73361940        17.31627012          0.08451784              0
476.76748740        17.39663610          0.10278928              0
477.43699570        17.73293973          0.19334463              0
477.72231500        17.72859454          0.09374010              0
477.75755050        17.81787807          0.06996913              0
479.71764380        18.82800861          0.06721472              0
480.42569410        19.30525063          0.40120315              0
481.45151000        19.91130210          0.13788372              0
482.45646180        20.66556335          0.09169929              0
482.71377980        20.77197097          0.13141822              0
487.44076200        24.51119522          0.18824294              0
487.70637170        24.63529019          0.08480524              0
488.41740760        25.45287206          0.17819791              0
488.69509190        25.54033128          0.11981658              0
488.75355560        25.56296632          0.15225995              0
489.69214210        26.50822548          0.10313998              0
490.43165490        27.12920262          0.69553759              0
491.44040870        28.54435434          0.10957053              0
498.56854340        37.83736345          0.32771658              0
498.73892480        37.78241642          0.10584531              0
499.73054820        39.43974687          0.61721467              0
501.71777660        42.03764189          0.07570121              0
502.46402040        43.10911174          0.11557032              0
502.71277660        43.34203306          0.07071703              0
503.36360000        44.46599777          0.16386261              0
503.50734570        44.60442065          0.08212525              0
503.66490870        44.74726187          0.07654284              0
503.73822120        44.72696794          0.06326278              0
504.48084660        45.80966242          0.13056619              0
504.48547470        45.86308477          0.12437947              0
504.73055060        46.14981409          0.07228101              0
505.35727790        47.17601645          0.13430648              0
505.36059520        47.24206723          0.12750536              0
505.36389800        47.18044623          0.19448383              0
505.36722800        47.17574883          0.25580734              0
505.37055070        47.14333524          0.24155522              0
505.41078150        47.21138535          0.08563888              0
505.41409850        47.23235630          0.06418597              0
505.41751780        47.20011229          0.11025959              0
505.42082400        47.15411877          0.16615964              0
505.42418470        47.17319917          0.11441723              0
505.42749130        47.18118435          0.14361468              0
505.60437370        47.31077432          0.08286501              0
505.60767660        47.40683039          0.08399060              0
505.61098470        47.30415816          0.07276006              0
505.61428450        47.32911606          0.08185310              0
505.61758570        47.38896974          0.08300755              0
505.62089390        47.32638514          0.06933786              0
505.72919040        47.57841799          0.06540868              0
505.73249180        47.53268023          0.06439961              0
505.73581770        47.60999619          0.08197129              0
505.73946850        47.56184674          0.08863439              0
505.74278020        47.60023091          0.05928980              0
505.74609110        47.61335036          0.07382490              0
505.75353900        47.55880777          0.07644594              0
506.37548330        48.58323154          0.16851273              0
506.42117370        48.68590153          0.19900757              0
506.42449200        48.57600191          0.11204393              0
506.42779760        48.59791753          0.26512776              0
506.43110910        48.42487669          0.18715872              0
506.43441820        48.45455766          0.47376176              0
506.43772470        48.57749704          0.13411280              0
506.61631510        48.64785929          0.19580993              0
506.61961640        48.76650825          0.16232828              0
507.37523320        49.95152635          0.19082672              0
507.37854950        49.73117717          0.15123366              0
507.38185630        49.85260665          0.13847887              0
507.38516610        49.88234234          0.14862655              0
507.38852520        49.89232077          0.15257258              0
507.39183160        49.87058131          0.09704658              0
507.53271210        49.91629261          0.10939047              0
507.53602620        49.99562568          0.11151848              0
507.53933190        49.94609597          0.11515729              0
507.54263880        49.88747596          0.11169412              0
507.54594050        49.96448435          0.10259298              0
507.54924490        49.96598977          0.08656710              0
507.64351200        50.10783783          0.08937061              0
507.64681280        50.11044365          0.06925576              0
507.65011980        50.06630235          0.08112248              0
507.65343190        50.08190774          0.09732665              0
507.65682570        50.09192694          0.09847072              0
507.66013320        50.12460042          0.09207447              0
508.35252410        51.11899289          0.20749504              0
508.35583030        51.16787452          0.22465463              0
508.35914070        51.14891129          0.14008497              0
508.36244460        51.15579832          0.18737118              0
508.36575150        51.16219787          0.21157149              0
508.36905650        51.20036671          0.18523227              0
508.50803310        51.05052852          0.17575585              0
508.51133410        51.19007731          0.10942401              0
508.51470190        51.18653100          0.11521294              0
508.51802480        51.09243374          0.15502482              0
508.63335400        51.25038033          0.07961574              0
508.63666240        51.26463968          0.10683344              0
508.63997040        51.22787458          0.11911852              0
508.64328230        51.21762858          0.11681817              0
508.64659390        51.23263135          0.08767871              0
508.64991120        51.22911761          0.12651961              0
508.72789110        51.38382922          0.13329471              0
509.34806280        52.42315235          0.12235894              0
509.35137590        52.43959056          0.13726962              0
509.35467750        52.44031673          0.12316082              0
509.35798760        52.33581201          0.14654122              0
509.36129900        52.34432961          0.21153096              0
509.36460090        52.36514931          1.00045396              0
509.46796860        52.47497295          0.15312149              0
509.57326090        52.55599751          0.13618810              0
509.57656390        52.55386771          0.09630901              0
509.57991960        52.63170875          0.17742448              0
509.58333690        52.58620052          0.16528264              0
509.58663840        52.21106707          0.35251144              0
509.68481220        52.52396829          0.10970832              0
509.68823110        52.52678123          0.11421286              0
509.69153220        52.44607545          0.09918062              0
509.69483410        52.42486032          0.26504370              0
509.69819170        52.57653239          0.09846991              0
509.70149750        52.48376578          0.12035267              0
510.51912650        53.44924810          0.11041725              0
510.60616450        53.82177229          0.16145500              0
510.69417620        53.71544803          0.11894408              0
510.74050370        53.75937824          0.09033156              0
511.35581150        54.62913948          0.44023059              0
511.35914010        54.21900854          1.90052867              0
511.36246670        54.47716583          0.44982006              0
511.36576810        54.33352039          0.31410057              0
511.36907620        54.35861333          0.15869835              0
512.71732660        55.44573213          1.43044266              0
512.72162710        55.74608203          0.16178874              0
514.37505920        57.37409031          0.23106097              0
514.42511380        57.32359931          0.44310445              0
514.66660410        57.34468061          0.11121264              0
515.49937850        57.97476832          0.09662140              0
515.65951960        58.04399365          0.09821750              0
516.39688790        58.78876558          0.16971455              0
516.40019630        58.86402777          0.16652287              0
516.65602680        58.74561442          0.26511245              0
516.65933650        58.85939671          0.10009438              0
