Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
2460403.69520802     -8.94052207          0.11044144              0
2460414.62478750    -13.13732190          0.05076973              0
2460421.56795384    -12.71877685          0.06245900              0
2460431.56092028    -11.59042758          0.13457633              0
2460440.58928624    -19.99887917          0.11551446              0
2460449.55415895    -22.01478642          0.11123111              0
2460457.69219178    -23.70821869          0.11929803              0
2460469.69031897    -25.72703126          0.12487716              0
2460487.55111907    -27.04506054          0.09937529              0
2460496.50538998    -27.01487076          0.10188339              0
2460505.40479708    -27.09151878          0.10155760              0
2460514.62196925    -26.09979653          0.08014882              0
2460533.54024744    -21.58688014          0.13221424              0
2460537.55727226    -19.91118380          0.09825791              0
2460545.60064837    -12.16871651          0.17194065              0
2460550.41882889    -13.02856275          0.17083551              0
2460555.42246657    -14.24371459          0.15654341              0
2460565.54174654     -3.14088970          0.20560500              0
2460582.50381213      7.10393884          0.10799751              0
2460589.50014772      8.77833565          0.09867163              0
2460597.37189069      8.54744160          0.07849806              0
2460602.39377104      7.69924581          0.08919788              0
2460618.41744587      1.35271070          0.13754033              0
2460622.35728196     -0.14565896          0.17358435              0
2457591.67010021    -21.59920444          0.09471176              1
2457591.64898417    -21.56407356          0.09551420              1
2457591.69121910    -21.60472141          0.11063730              1
2457591.71414350    -21.66165557          0.10228461              1
2457590.67625556    -21.27384913          0.08807351              1
2457590.65514400    -21.24381722          0.07591326              1
2457590.69737012    -21.33365015          0.08333596              1
2457232.51804051      3.17409267          0.20591672              2
2457236.70603356      6.84626605          0.11440173              2
