Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
2460403.69520802    -14.85885434          0.15254097              0
2460414.62478750    -13.13732190          0.05076973              0
2460421.56795384    -12.71877685          0.06245900              0
2460431.56092028    -11.59042758          0.13457633              0
2460440.58928624     -6.91229492          0.09196714              0
2460449.55415895     -4.64291219          0.13933891              0
2460457.69219178     -3.22093609          0.11828184              0
2460469.69031897     -1.56392087          0.12003215              0
2460487.55111907     -0.60361504          0.18270888              0
2460496.50538998     -0.28488454          0.11578354              0
2460505.40479708     -0.19647908          0.12383672              0
2460514.62196925     -1.14181389          0.11238118              0
2460533.54024744     -5.26096135          0.10984355              0
2460537.55727226     -6.68185868          0.10905914              0
2460545.60064837    -12.16871651          0.17194065              0
2460550.41882889    -13.02856275          0.17083551              0
2460555.42246657    -14.24371459          0.15654341              0
2460565.54174654    -22.21236955          0.13353783              0
2460582.50381213    -31.14287018          0.09571267              0
2460589.50014772    -32.57017381          0.04272071              0
2460597.37189069    -32.49124984          0.07930725              0
2460602.39377104    -31.56545308          0.12283225              0
2460618.41744587    -26.13123080          0.15234699              0
2460622.35728196    -24.66063139          0.12658757              0
2457591.67010021     -1.17243492          0.09286299              1
2457591.64898417     -1.15555539          0.08713356              1
2457591.69121910     -1.17420284          0.09922342              1
2457591.71414350     -1.20755784          0.11117029              1
2457590.67625556     -1.02761103          0.10483584              1
2457590.65514400     -1.00893696          0.09992278              1
2457590.69737012     -1.11069904          0.11485373              1
2457232.51804051    -29.22594984          0.13578788              2
2457236.70603356    -31.00711930          0.10138361              2
