date, filename, reduced
2009-08-25T21:26:17, FIsh250071.fits, no
2011-06-15T23:00:27.9, FIuf150164.fits, no
2011-08-10T00:57:54.7, FIuh090111.fits, no
2015-07-29T00:25:58, FIyg280054.fits, yes
2015-08-02T04:56:41, FIyh010103.fits, yes
2010-04-28T03:11:35.2, FItd270139.fits, yes
2010-07-08T02:35:07.3, FItg070090.fits, no
2010-09-01T23:15:05.7, FIti010049.fits, no
2011-04-24T04:58:38.4, FIud230160.fits, yes
2011-07-12T22:03:22.4, FIug120111.fits, no
2011-07-19T03:54:55.7, FIug180055.fits, no
2011-08-10T03:09:20.1, FIuh090135.fits, no
2011-09-05T00:58:25.2, FIui040063.fits, yes
2012-04-11T03:12:53, FIvd100085.fits, yes
2012-06-14T01:21:55, FIvf130013.fits, yes
2012-08-29T23:12:03, FIvh290001.fits, yes
2013-04-17T05:47:59, FIwd160108.fits, yes
2013-06-15T01:29:45, FIwf140092.fits, no
2013-09-09T22:08:58, FIwi090080.fits, no
2015-10-05T20:29:00, FIyj050037.fits, yes
2010-04-28T05:20:41.8, FItd270156.fits, yes
2010-07-08T04:50:33.0, FItg070107.fits, no
2010-09-02T01:22:13.2, FIti010066.fits, no
2011-06-09T04:55:32.1, FIuf080085.fits, yes
2011-07-21T02:08:08.4, FIug200098.fits, no
2011-09-05T03:12:50.0, FIui040080.fits, yes
2012-06-14T03:39:10, FIvf130027.fits, yes
2012-09-01T23:35:58, FIvi010003.fits, yes
2013-04-25T05:23:42, FIwd240115.fits, yes
2013-06-15T03:50:58, FIwf140109.fits, no
2013-08-06T23:33:46, FIwh060121.fits, yes
2013-09-10T00:29:24, FIwi090097.fits, no
2016-04-27T03:51:43, FIzd260095.fits, yes
2016-04-27T03:53:16, FIzd260096.fits, yes
2013-08-03T21:37:02, FIwh030070.fits, yes
2015-10-01T21:22:05, FIyj010071.fits, yes
2015-10-01T21:47:14, FIyj010072.fits, yes
2015-10-01T22:13:40, FIyj010073.fits, yes
